freq,last_update,web,gender,address_res,address_us,spending
2,3662,1,0,1,1,128
0,2900,1,1,0,1,0
2,3883,0,0,0,1,127
1,829,0,1,0,1,0
1,869,0,0,0,1,0
1,1995,0,0,1,1,0
2,1498,0,0,1,1,0
1,3397,0,1,0,1,0
4,525,1,1,0,1,489
1,3215,0,0,0,1,174
0,734,0,1,0,1,0
2,1275,0,0,1,1,0
1,2802,1,1,0,1,0
5,2081,0,1,0,1,1416
1,1465,0,0,1,0,192
1,2523,1,0,0,0,0
2,1801,1,0,1,1,0
0,3694,1,0,0,0,0
2,1879,1,1,1,1,130
0,3120,0,1,0,1,0
2,2943,1,0,0,1,386
2,1928,0,1,0,1,161
1,310,0,0,1,1,0
2,1463,0,0,1,1,174
3,3613,1,1,0,1,131
1,2460,1,0,0,1,189
0,3394,0,0,0,0,0
0,1569,1,0,0,1,0
1,3299,0,0,0,1,90
2,3744,0,1,0,1,354
0,3090,0,0,0,1,0
2,2947,1,0,0,0,352
1,2123,0,1,0,0,0
0,2905,1,1,0,1,0
0,2005,0,1,1,0,0
1,1158,0,1,1,1,0
2,2478,0,1,0,1,185
1,1058,0,0,0,0,0
1,1774,0,0,0,1,0
0,3694,1,0,0,1,0
2,1752,1,0,1,1,0
2,3698,0,1,0,1,34
2,1318,0,1,1,1,161
9,868,1,0,1,1,639
2,2752,0,1,0,1,638
1,3338,0,1,1,1,159
0,3747,0,0,0,1,0
0,2905,1,0,0,1,0
2,1786,0,0,0,1,41
1,316,1,1,0,0,0
2,2226,0,1,0,1,232
2,1920,0,0,1,1,0
8,106,1,0,0,1,1030
0,1822,1,1,0,1,0
1,1170,1,1,0,1,375
0,3157,0,1,1,1,0
5,1856,0,0,1,1,362
1,2212,0,0,0,0,95
2,3338,0,1,0,1,109
0,3367,0,1,0,1,0
3,2957,1,1,0,1,136
1,834,0,1,0,1,0
3,2908,0,1,0,1,261
1,906,1,1,0,1,43
6,1408,0,1,1,1,389
3,1835,1,0,0,1,80
1,2803,0,0,0,1,0
4,479,1,1,0,1,394
6,1470,0,1,0,1,588
1,3654,1,1,0,1,0
1,3716,0,0,1,1,298
0,3125,0,0,0,1,0
4,1995,0,1,1,1,0
0,3747,0,1,0,1,0
1,2438,0,1,1,1,0
1,2848,1,1,0,1,0
1,3125,1,1,0,0,160
2,541,1,1,1,1,50
1,2859,1,0,0,1,161
1,1095,1,0,1,1,0
1,2508,0,1,0,1,233
1,2862,0,0,0,1,129
0,3745,1,0,0,1,0
2,3698,1,0,0,1,98
0,3746,0,1,0,1,0
2,2962,1,0,0,1,132
2,841,1,0,1,1,158
1,2912,1,1,0,1,0
2,458,1,0,0,0,248
1,1269,1,0,0,1,277
1,2982,1,1,0,1,0
1,1415,1,0,1,1,0
0,4005,0,0,0,1,0
1,2102,1,1,0,1,54
1,2872,0,1,0,1,0
1,2548,1,0,0,1,230
0,2740,0,0,0,1,0
0,217,0,0,0,1,0
1,366,0,1,0,0,0
3,822,1,0,1,1,287
0,3746,0,0,0,1,0
1,3772,0,1,0,1,0
0,2781,0,1,0,1,0
1,511,0,0,0,1,0
1,1112,0,1,0,1,164
1,2807,1,0,0,0,405
0,1011,0,1,0,1,0
1,2907,0,1,0,1,160
1,3724,0,1,0,1,305
1,3356,0,0,0,1,0
3,3791,1,1,1,0,534
2,3642,1,0,0,1,0
1,4005,1,1,0,0,105
1,1130,1,1,0,1,79
6,1128,1,0,1,1,404
2,1521,0,1,1,1,0
2,1882,0,1,1,1,0
2,1529,0,1,0,0,186
1,2404,0,0,0,1,114
1,667,0,1,0,1,324
1,4157,1,1,0,1,69
2,3436,1,1,0,1,225
1,1154,0,0,1,1,205
1,1263,1,1,0,1,0
1,1863,0,1,1,1,167
3,731,0,0,1,1,0
0,1816,1,0,0,1,0
1,1302,1,1,0,1,67
2,785,1,0,0,1,206
1,3883,0,1,0,1,67
1,2960,0,1,1,1,120
5,617,0,0,0,1,356
1,3009,0,0,1,1,129
1,2404,0,1,0,1,0
1,1968,0,1,0,1,0
4,1121,1,1,0,1,420
0,2879,1,0,0,1,0
1,2648,1,1,0,1,130
0,2891,1,1,0,1,0
3,1240,1,1,1,1,141
1,2856,0,1,0,1,0
0,2977,0,0,0,1,0
1,2960,1,1,0,1,129
1,3047,0,1,1,1,0
0,2765,1,0,0,1,0
1,1109,0,0,0,1,21
5,2268,0,0,0,1,605
1,1147,1,0,0,1,164
2,2425,0,0,0,1,130
1,2296,0,0,0,1,161
0,3619,0,0,0,1,0
2,1016,1,0,0,1,451
1,723,0,1,1,1,0
2,841,0,1,1,1,0
1,890,0,1,0,1,0
3,1242,1,1,1,1,432
0,3747,1,1,0,1,0
1,2060,0,1,0,1,0
2,3074,1,0,0,1,163
3,2024,0,1,0,1,547
0,3138,1,0,1,1,0
1,3334,1,0,0,1,0
0,90,0,1,0,0,0
1,2632,1,0,0,1,140
1,3451,1,0,0,1,0
2,3543,0,0,0,0,129
1,169,1,1,0,1,163
3,3662,0,1,1,1,310
2,582,1,1,0,1,326
2,969,0,0,1,1,43
1,1968,1,1,0,1,0
1,364,1,0,0,0,249
0,2185,0,1,0,0,0
0,91,0,0,0,1,0
0,3502,0,1,0,1,0
1,3485,0,1,0,1,0
1,2855,0,1,0,1,0
1,1890,1,0,0,1,77
1,3944,1,1,0,1,68
3,2347,0,0,0,1,219
1,3237,0,1,1,1,0
2,3772,1,0,0,1,149
2,3583,1,0,0,0,140
1,140,0,1,1,0,0
1,2960,0,1,1,1,129
1,1598,1,1,0,1,40
3,1689,0,0,1,1,108
1,2675,0,1,0,1,30
4,1989,0,1,0,1,130
1,1569,1,1,0,1,32
1,1906,1,0,0,1,50
1,2408,1,0,0,1,54
2,1864,0,1,0,1,243
1,2947,0,0,0,1,80
2,2723,1,1,0,0,237
1,3660,1,1,0,1,0
1,2893,0,1,0,1,0
3,2466,1,1,0,1,145
2,1882,0,0,1,1,0
1,2502,0,0,1,0,0
3,2024,1,1,0,1,437
2,2080,1,1,1,1,35
2,1856,0,0,1,1,0
1,583,0,0,0,1,412
0,3369,0,0,0,0,0
0,181,0,0,0,1,0
1,50,1,1,0,1,25
1,3270,1,0,0,1,153
1,1926,0,1,0,0,62
1,1567,1,0,0,1,32
2,2404,1,0,0,1,187
1,906,0,0,0,1,80
2,1577,1,0,0,1,277
2,1037,0,1,0,1,278
1,2768,0,0,0,0,0
1,3522,0,0,0,1,0
